#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2023-01-18 10:44:25
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2023-01-18 12:07:28 94.73.170.75 GET /defau1t.php - 80 - 40.91.198.84 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/90.0.4430.85+Safari/537.36 www.bing.com krsstand.com.tr 404 0 2 12771 452 96
2023-01-18 12:08:32 94.73.170.75 GET /moduless.php - 80 - 40.91.198.84 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/90.0.4430.85+Safari/537.36 www.bing.com krsstand.com.tr 404 0 2 12771 453 223
2023-01-18 12:09:03 94.73.170.75 GET /wp-booking.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 353 221
2023-01-18 12:09:25 94.73.170.75 GET /wp-content/plugins/backup_index.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 374 252
2023-01-18 12:09:59 94.73.170.75 GET /wp-content/mu-plugins/db-safe-mode.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 377 279
2023-01-18 12:13:51 94.73.170.75 GET /wp-includes/css/wp-config.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 368 153
2023-01-18 12:15:34 94.73.170.75 GET /config.bak.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 353 65
2023-01-18 12:15:34 94.73.170.75 GET /wp-content/themes/config.bak.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 371 225
2023-01-18 12:17:36 94.73.170.75 GET /legion.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 349 112
2023-01-18 12:17:56 94.73.170.75 GET /wp-content/plugins/wpconfig.bak.php act=sf 80 - 40.91.198.84 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/90.0.4430.85+Safari/537.36 www.bing.com krsstand.com.tr 404 0 2 12771 483 270
2023-01-18 12:18:33 94.73.170.75 GET /wp-plugins.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 353 265
2023-01-18 12:19:59 94.73.170.75 GET /gank.php.PhP - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 351 140
2023-01-18 12:21:55 94.73.170.75 GET /wp-content/db-cache.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 362 166
2023-01-18 12:22:26 94.73.170.75 GET /archives.php - 80 - 40.91.198.84 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/90.0.4430.85+Safari/537.36 www.bing.com krsstand.com.tr 404 0 2 12771 453 154
2023-01-18 12:27:15 94.73.170.75 GET /defau11.php - 80 - 40.91.198.84 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/90.0.4430.85+Safari/537.36 www.bing.com krsstand.com.tr 404 0 2 12771 452 138
2023-01-18 12:30:18 94.73.170.75 GET /wp-content/outcms.php up 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 363 143
2023-01-18 12:30:40 94.73.170.75 GET /system_log.php bala=up 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 361 154
2023-01-18 12:34:09 94.73.170.75 GET /wp-backup-sql-302.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 360 81
2023-01-18 12:35:52 94.73.170.75 GET /error.php phpshells 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 358 111
2023-01-18 12:35:57 94.73.170.75 GET /ALFA_DATA - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 348 197
2023-01-18 12:35:58 94.73.170.75 GET /alfacgiapi - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 349 47
2023-01-18 12:35:58 94.73.170.75 GET /cgialfa - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 346 43
2023-01-18 12:35:58 94.73.170.75 GET /.well-known/ALFA_DATA - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 360 50
